Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-01-02,Train,Route_7,15:56,16:44,48,Station_5,Station_20,8
2023-01-02,Metro,Route_7,17:08,18:27,87,Station_20,Station_13,14
2023-01-02,Tram,Route_6,09:48,10:01,92,Station_6,Station_14,0
2023-01-02,Tram,Route_8,12:18,13:35,46,Station_4,Station_13,11
2023-01-02,Bus,Route_8,16:16,18:23,24,Station_3,Station_7,15
2023-01-02,Train,Route_10,06:09,08:04,75,Station_10,Station_5,10
2023-01-02,Bus,Route_4,10:39,11:09,46,Station_14,Station_20,12
2023-01-02,Train,Route_3,18:03,18:38,20,Station_11,Station_3,0
2023-01-02,Metro,Route_7,12:05,14:03,9,Station_17,Station_9,0
2023-01-02,Metro,Route_10,10:39,11:45,1,Station_17,Station_16,1
2023-01-02,Bus,Route_10,16:06,16:17,65,Station_13,Station_11,8
2023-01-03,Metro,Route_8,19:03,20:26,88,Station_20,Station_18,8
2023-01-03,Train,Route_3,18:11,18:48,47,Station_5,Station_4,6
2023-01-03,Train,Route_9,19:05,19:53,42,Station_12,Station_18,13
2023-01-03,Train,Route_1,21:45,23:21,77,Station_19,Station_10,5
2023-01-03,Tram,Route_5,09:06,09:51,2,Station_12,Station_6,1
2023-01-03,Tram,Route_5,10:13,11:58,40,Station_13,Station_4,6
2023-01-03,Train,Route_8,10:42,12:18,51,Station_10,Station_13,6
2023-01-03,Metro,Route_1,15:49,16:35,44,Station_2,Station_13,7
2023-01-03,Train,Route_3,11:37,13:41,59,Station_7,Station_4,11
2023-01-03,Metro,Route_5,20:41,21:21,40,Station_13,Station_19,15
2023-01-03,Metro,Route_9,10:32,12:14,43,Station_18,Station_14,0
2023-01-03,Bus,Route_4,11:59,12:16,72,Station_19,Station_4,14
2023-01-03,Bus,Route_4,09:06,09:23,38,Station_14,Station_9,0
2023-01-03,Metro,Route_5,20:19,21:23,11,Station_18,Station_10,13
2023-01-03,Bus,Route_1,15:44,16:15,54,Station_19,Station_15,8
2023-01-03,Bus,Route_5,13:20,13:52,74,Station_12,Station_20,11
2023-01-03,Tram,Route_10,13:11,15:19,52,Station_10,Station_6,8
2023-01-03,Train,Route_6,08:30,09:00,39,Station_19,Station_18,3
2023-01-03,Metro,Route_9,08:33,09:35,29,Station_10,Station_3,10
2023-01-03,Metro,Route_8,12:41,12:53,59,Station_14,Station_18,10
2023-01-03,Tram,Route_8,07:29,07:37,37,Station_7,Station_19,3
2023-01-03,Bus,Route_1,13:22,14:51,29,Station_6,Station_20,13
2023-01-03,Bus,Route_8,06:34,07:28,94,Station_20,Station_20,7
2023-01-03,Bus,Route_4,11:50,13:51,43,Station_9,Station_19,12
2023-01-03,Bus,Route_1,11:27,11:41,61,Station_15,Station_20,9
2023-01-03,Tram,Route_2,08:42,10:25,35,Station_15,Station_5,5
2023-01-03,Metro,Route_1,06:28,06:46,35,Station_20,Station_20,15
2023-01-03,Bus,Route_4,18:09,19:27,3,Station_10,Station_10,4
2023-01-03,Metro,Route_7,07:54,08:06,40,Station_20,Station_8,0
2023-01-03,Metro,Route_6,21:07,21:58,80,Station_5,Station_17,10
2023-01-03,Tram,Route_9,13:51,15:37,46,Station_11,Station_20,6
2023-01-03,Train,Route_9,06:36,07:42,49,Station_2,Station_20,6
2023-01-04,Metro,Route_1,20:46,22:49,8,Station_11,Station_17,14
2023-01-04,Tram,Route_6,09:52,10:01,74,Station_17,Station_11,4
2023-01-04,Tram,Route_7,11:48,12:06,71,Station_16,Station_20,13
2023-01-04,Tram,Route_7,13:06,13:59,37,Station_19,Station_10,10
2023-01-04,Train,Route_9,21:40,23:14,79,Station_9,Station_5,6
2023-01-04,Metro,Route_10,10:41,11:44,92,Station_20,Station_4,11
2023-01-04,Train,Route_10,07:39,09:24,75,Station_9,Station_3,1
2023-01-04,Tram,Route_1,05:43,06:53,8,Station_15,Station_9,5
2023-01-04,Bus,Route_4,07:38,08:26,28,Station_15,Station_1,7
2023-01-04,Tram,Route_2,06:59,09:05,3,Station_13,Station_20,8
2023-01-04,Metro,Route_4,20:40,21:29,40,Station_9,Station_1,6
2023-01-04,Bus,Route_9,21:13,22:36,7,Station_4,Station_6,0
2023-01-04,Metro,Route_7,13:37,15:00,41,Station_11,Station_17,6
2023-01-04,Metro,Route_2,07:14,08:18,21,Station_18,Station_7,5
2023-01-04,Tram,Route_6,08:15,09:05,88,Station_7,Station_17,14
2023-01-04,Tram,Route_9,16:30,17:20,39,Station_12,Station_15,13
2023-01-04,Metro,Route_3,13:20,14:25,24,Station_18,Station_13,3
2023-01-04,Metro,Route_8,12:55,13:59,90,Station_8,Station_5,14
2023-01-04,Tram,Route_3,16:37,18:00,29,Station_4,Station_2,14
2023-01-04,Bus,Route_6,03:51,04:15,16,Station_3,Station_8,10
2023-01-04,Metro,Route_2,06:46,07:53,86,Station_15,Station_17,0
2023-01-04,Train,Route_3,09:55,10:33,91,Station_2,Station_2,8
2023-01-04,Metro,Route_8,21:53,22:37,66,Station_1,Station_17,4
2023-01-04,Tram,Route_4,12:29,13:34,12,Station_20,Station_17,12
2023-01-04,Tram,Route_6,07:54,09:52,53,Station_19,Station_12,6
2023-01-04,Tram,Route_10,14:04,15:46,23,Station_11,Station_7,0
2023-01-04,Bus,Route_2,21:41,22:48,3,Station_17,Station_19,13
2023-01-04,Bus,Route_4,09:21,11:07,3,Station_11,Station_6,13
2023-01-04,Tram,Route_10,17:33,18:10,10,Station_6,Station_14,1
2023-01-04,Bus,Route_9,22:04,23:03,44,Station_18,Station_19,14
2023-01-04,Tram,Route_2,22:07,22:39,21,Station_9,Station_13,7
2023-01-04,Tram,Route_4,17:42,18:14,4,Station_4,Station_10,11
2023-01-05,Bus,Route_8,11:26,12:45,83,Station_15,Station_18,14
2023-01-05,Metro,Route_3,05:48,06:41,15,Station_7,Station_7,0
2023-01-05,Bus,Route_3,09:44,11:08,30,Station_2,Station_5,12
2023-01-05,Metro,Route_7,12:20,13:02,28,Station_2,Station_2,11
2023-01-05,Bus,Route_10,20:57,22:15,77,Station_9,Station_12,4
2023-01-05,Tram,Route_2,05:39,05:56,66,Station_8,Station_7,4
2023-01-05,Metro,Route_8,09:28,11:17,15,Station_17,Station_17,1
2023-01-05,Train,Route_10,16:26,16:31,3,Station_18,Station_5,4
2023-01-05,Bus,Route_4,09:35,10:19,9,Station_5,Station_15,0
2023-01-05,Metro,Route_3,08:36,09:06,38,Station_6,Station_7,4
2023-01-05,Metro,Route_5,14:21,15:25,62,Station_19,Station_6,8
2023-01-05,Tram,Route_8,15:42,16:48,52,Station_15,Station_7,6
2023-01-05,Metro,Route_1,17:29,17:50,39,Station_12,Station_6,3
2023-01-05,Train,Route_10,08:32,10:12,32,Station_9,Station_1,4
2023-01-05,Tram,Route_6,06:19,08:08,40,Station_2,Station_1,2
2023-01-05,Tram,Route_10,17:44,18:17,43,Station_7,Station_7,13
2023-01-05,Train,Route_2,06:31,08:01,25,Station_15,Station_19,14
2023-01-05,Metro,Route_1,12:16,12:59,94,Station_19,Station_16,14
2023-01-05,Metro,Route_4,21:13,22:32,40,Station_7,Station_17,14
2023-01-05,Train,Route_5,06:27,08:28,13,Station_15,Station_20,8
2023-01-05,Metro,Route_7,17:51,19:46,75,Station_2,Station_14,8
2023-01-05,Metro,Route_7,05:30,07:03,95,Station_4,Station_9,15
2023-01-05,Metro,Route_5,21:05,22:49,69,Station_2,Station_3,9
2023-01-05,Bus,Route_1,05:06,06:04,2,Station_7,Station_17,8
2023-01-05,Tram,Route_1,22:47,24:24,70,Station_6,Station_15,10
2023-01-05,Train,Route_7,06:04,07:27,15,Station_5,Station_1,11
2023-01-05,Bus,Route_1,14:00,15:19,81,Station_10,Station_12,2
2023-01-05,Bus,Route_9,17:48,18:28,89,Station_20,Station_15,10
2023-01-05,Train,Route_2,20:22,20:54,90,Station_7,Station_7,0
2023-01-05,Tram,Route_5,21:13,22:20,23,Station_18,Station_3,2
2023-01-05,Bus,Route_7,03:01,04:19,17,Station_15,Station_16,10
2023-01-05,Metro,Route_10,17:35,19:31,60,Station_14,Station_4,14
2023-01-06,Train,Route_10,14:30,16:20,94,Station_14,Station_9,7
2023-01-06,Bus,Route_7,19:20,19:40,59,Station_8,Station_17,1
2023-01-06,Bus,Route_8,13:20,14:49,78,Station_10,Station_16,9
2023-01-06,Metro,Route_9,16:09,17:39,47,Station_20,Station_4,13
2023-01-06,Bus,Route_3,17:18,19:08,52,Station_1,Station_5,15
2023-01-06,Train,Route_4,10:53,12:42,17,Station_18,Station_13,14
2023-01-06,Metro,Route_7,15:27,17:04,56,Station_17,Station_5,8
2023-01-06,Tram,Route_7,11:36,12:49,92,Station_18,Station_4,1
2023-01-06,Bus,Route_5,10:53,12:24,2,Station_1,Station_12,11
2023-01-06,Metro,Route_4,13:38,14:24,35,Station_10,Station_6,4
2023-01-06,Tram,Route_5,19:51,20:49,66,Station_7,Station_9,2
2023-01-06,Metro,Route_6,08:09,08:42,50,Station_3,Station_19,6
2023-01-06,Tram,Route_3,10:33,11:01,94,Station_7,Station_13,15
2023-01-06,Train,Route_2,11:43,12:45,30,Station_8,Station_11,13
2023-01-06,Train,Route_10,16:58,18:56,61,Station_16,Station_14,14
2023-01-06,Train,Route_8,15:28,16:11,88,Station_16,Station_7,7
2023-01-06,Metro,Route_1,09:27,11:36,11,Station_7,Station_8,13
2023-01-06,Tram,Route_10,17:34,18:48,22,Station_17,Station_2,0
2023-01-06,Bus,Route_6,05:34,06:34,47,Station_2,Station_1,5
2023-01-06,Metro,Route_7,08:11,08:52,76,Station_3,Station_17,0
2023-01-06,Train,Route_9,08:24,08:56,98,Station_8,Station_11,9
2023-01-06,Bus,Route_4,14:13,14:38,43,Station_4,Station_2,15
2023-01-06,Metro,Route_3,22:00,22:50,96,Station_2,Station_5,11
2023-01-06,Tram,Route_6,11:55,12:53,12,Station_8,Station_5,11
2023-01-06,Bus,Route_3,15:17,15:58,88,Station_10,Station_4,13
2023-01-06,Train,Route_4,21:08,23:07,53,Station_15,Station_5,4
2023-01-06,Train,Route_2,12:06,12:40,49,Station_6,Station_5,10
2023-01-06,Bus,Route_7,08:16,09:35,55,Station_10,Station_17,4
2023-01-06,Tram,Route_6,21:23,22:46,33,Station_5,Station_2,13
2023-01-06,Metro,Route_6,08:52,09:39,27,Station_17,Station_17,11
2023-01-06,Train,Route_8,17:27,19:29,4,Station_9,Station_4,3
2023-01-06,Tram,Route_3,11:40,12:54,12,Station_16,Station_14,5
2023-01-07,Metro,Route_6,05:54,08:19,4,Station_13,Station_6,35
2023-01-07,Tram,Route_4,22:53,23:48,48,Station_13,Station_6,30
2023-01-07,Metro,Route_3,05:55,08:07,38,Station_15,Station_12,60
2023-01-07,Tram,Route_6,15:19,17:33,62,Station_20,Station_20,64
2023-01-07,Metro,Route_1,11:18,11:51,21,Station_2,Station_10,30
2023-01-07,Tram,Route_10,22:01,24:27,3,Station_9,Station_1,67
2023-01-07,Bus,Route_8,20:59,23:19,79,Station_9,Station_16,38
2023-01-07,Bus,Route_6,19:25,20:55,25,Station_3,Station_14,15
2023-01-07,Metro,Route_3,21:37,23:15,69,Station_6,Station_3,57
2023-01-07,Bus,Route_4,05:54,07:05,32,Station_19,Station_3,67
2023-01-07,Tram,Route_5,20:07,22:36,79,Station_13,Station_8,48
2023-01-07,Metro,Route_4,10:06,11:02,69,Station_15,Station_15,41
2023-01-07,Train,Route_5,08:01,09:53,77,Station_5,Station_17,44
2023-01-07,Tram,Route_6,06:30,08:31,20,Station_8,Station_5,42
2023-01-07,Bus,Route_6,05:28,07:04,53,Station_20,Station_11,50
2023-01-07,Metro,Route_8,08:44,11:14,93,Station_12,Station_5,42
2023-01-07,Train,Route_1,15:05,16:40,96,Station_17,Station_13,61
2023-01-07,Metro,Route_7,16:52,18:50,37,Station_7,Station_5,43
2023-01-07,Train,Route_5,07:01,08:33,47,Station_3,Station_6,60
2023-01-07,Metro,Route_3,22:07,24:52,30,Station_9,Station_8,55
2023-01-07,Metro,Route_10,07:50,10:40,26,Station_20,Station_13,62
2023-01-07,Bus,Route_7,05:17,06:40,51,Station_1,Station_7,55
2023-01-07,Bus,Route_10,08:03,09:34,71,Station_15,Station_6,49
2023-01-07,Tram,Route_6,14:17,15:21,2,Station_13,Station_8,32
2023-01-07,Metro,Route_7,14:28,16:37,36,Station_18,Station_6,25
2023-01-07,Tram,Route_10,15:37,17:05,45,Station_8,Station_11,25
2023-01-07,Metro,Route_8,20:22,21:24,51,Station_12,Station_2,49
2023-01-07,Metro,Route_8,09:39,11:56,35,Station_18,Station_16,46
2023-01-07,Train,Route_1,22:10,22:36,8,Station_17,Station_2,21
2023-01-07,Bus,Route_1,12:43,14:22,96,Station_19,Station_15,21
2023-01-07,Bus,Route_9,17:44,19:28,91,Station_19,Station_3,19
2023-01-07,Metro,Route_1,17:44,20:19,41,Station_6,Station_5,42
2023-01-08,Train,Route_3,08:41,09:16,27,Station_16,Station_17,12
2023-01-08,Bus,Route_2,08:08,09:15,79,Station_9,Station_2,15
2023-01-08,Tram,Route_6,14:36,15:44,86,Station_3,Station_4,14
2023-01-08,Metro,Route_10,11:04,11:32,96,Station_13,Station_13,11
2023-01-08,Bus,Route_3,13:10,13:20,88,Station_5,Station_3,7
2023-01-08,Train,Route_2,16:07,18:13,93,Station_14,Station_9,6
2023-01-08,Tram,Route_10,10:33,12:29,72,Station_8,Station_17,9
2023-01-08,Metro,Route_7,21:09,22:34,41,Station_10,Station_4,11
2023-01-08,Metro,Route_4,05:11,05:41,94,Station_14,Station_8,3
2023-01-08,Train,Route_2,09:58,12:05,27,Station_13,Station_8,15
2023-01-08,Train,Route_7,07:14,08:03,24,Station_17,Station_14,9
2023-01-08,Tram,Route_1,10:05,12:05,17,Station_3,Station_7,15
2023-01-08,Train,Route_2,08:00,08:05,1,Station_19,Station_9,0
2023-01-08,Bus,Route_2,09:06,11:14,19,Station_13,Station_11,9
2023-01-08,Train,Route_9,11:52,13:40,28,Station_15,Station_2,3
2023-01-08,Tram,Route_9,15:59,16:23,56,Station_7,Station_10,12
2023-01-08,Tram,Route_1,07:58,10:08,91,Station_9,Station_7,10
2023-01-08,Tram,Route_3,10:38,12:13,82,Station_1,Station_14,12
2023-01-08,Bus,Route_8,22:20,23:57,37,Station_1,Station_3,3
2023-01-08,Metro,Route_10,15:56,17:03,65,Station_6,Station_15,10
2023-01-08,Bus,Route_2,05:36,06:23,85,Station_12,Station_8,2
2023-01-08,Metro,Route_7,22:40,23:32,100,Station_14,Station_7,11
2023-01-08,Bus,Route_4,17:37,19:00,19,Station_3,Station_17,9
2023-01-08,Tram,Route_4,10:40,12:33,40,Station_10,Station_5,12
2023-01-08,Tram,Route_9,20:10,20:57,86,Station_9,Station_16,6
2023-01-08,Metro,Route_4,05:34,06:32,11,Station_15,Station_2,1
2023-01-08,Bus,Route_9,12:42,14:41,59,Station_17,Station_11,15
2023-01-08,Bus,Route_3,03:41,04:27,13,Station_19,Station_4,8
2023-01-08,Bus,Route_7,19:01,20:17,74,Station_20,Station_11,6
2023-01-08,Tram,Route_6,22:21,24:04,40,Station_3,Station_13,6
2023-01-08,Metro,Route_6,12:05,12:30,44,Station_6,Station_20,12
2023-01-08,Bus,Route_10,21:56,23:09,31,Station_7,Station_2,11
2023-01-09,Train,Route_8,05:06,06:34,42,Station_4,Station_4,11
2023-01-09,Train,Route_1,16:57,18:46,64,Station_16,Station_17,1
2023-01-09,Tram,Route_6,17:22,19:08,84,Station_8,Station_14,3
2023-01-09,Tram,Route_3,15:22,17:23,74,Station_4,Station_13,5
2023-01-09,Train,Route_5,07:10,08:32,60,Station_3,Station_7,8
2023-01-09,Metro,Route_1,21:49,22:07,62,Station_15,Station_18,8
2023-01-09,Bus,Route_10,07:42,09:13,86,Station_3,Station_19,10
2023-01-09,Tram,Route_6,12:55,13:30,40,Station_18,Station_7,15
2023-01-09,Tram,Route_8,13:29,14:50,74,Station_2,Station_6,12
2023-01-09,Train,Route_3,13:13,14:36,54,Station_15,Station_14,15
2023-01-09,Train,Route_7,11:58,13:23,55,Station_12,Station_14,13
2023-01-09,Metro,Route_10,09:33,10:58,5,Station_2,Station_14,13
2023-01-09,Metro,Route_7,10:09,10:27,43,Station_10,Station_5,3
2023-01-09,Tram,Route_7,12:29,14:31,22,Station_7,Station_19,2
2023-01-09,Train,Route_6,05:21,05:38,64,Station_11,Station_10,2
2023-01-09,Bus,Route_1,07:24,07:51,82,Station_11,Station_5,14
2023-01-09,Tram,Route_2,05:36,06:24,4,Station_16,Station_1,12
2023-01-09,Tram,Route_2,06:04,07:44,18,Station_15,Station_12,2
2023-01-09,Train,Route_3,10:57,11:04,61,Station_8,Station_17,4
2023-01-09,Bus,Route_6,22:54,23:33,51,Station_17,Station_3,11
2023-01-09,Metro,Route_1,19:36,21:39,84,Station_10,Station_12,4
2023-01-09,Metro,Route_4,18:37,20:05,7,Station_13,Station_5,12
2023-01-09,Train,Route_4,09:32,09:53,70,Station_7,Station_12,1
2023-01-09,Metro,Route_7,07:58,08:56,46,Station_7,Station_18,14
2023-01-09,Bus,Route_1,08:25,08:53,46,Station_17,Station_8,4
2023-01-09,Train,Route_1,15:07,16:27,89,Station_19,Station_8,12
2023-01-09,Train,Route_5,16:44,17:40,60,Station_12,Station_5,4
2023-01-09,Train,Route_9,17:12,17:48,16,Station_2,Station_9,9
2023-01-09,Bus,Route_9,14:00,15:33,12,Station_3,Station_9,4
2023-01-09,Metro,Route_2,15:50,17:44,63,Station_19,Station_4,12
2023-01-09,Bus,Route_2,13:38,15:16,48,Station_11,Station_12,9
2023-01-09,Metro,Route_4,22:03,23:49,48,Station_14,Station_16,8
2023-01-10,Metro,Route_8,06:40,09:21,75,Station_4,Station_18,50
2023-01-10,Train,Route_8,17:42,20:10,22,Station_6,Station_13,48
2023-01-10,Bus,Route_10,11:05,12:43,99,Station_3,Station_20,67
2023-01-10,Metro,Route_7,10:48,12:57,92,Station_6,Station_3,23
2023-01-10,Metro,Route_2,13:43,14:49,8,Station_20,Station_10,54
2023-01-10,Train,Route_5,22:09,22:58,58,Station_5,Station_1,38
2023-01-10,Tram,Route_1,05:51,08:24,15,Station_8,Station_18,44
2023-01-10,Train,Route_3,16:48,18:17,59,Station_20,Station_7,71
2023-01-10,Metro,Route_5,10:02,11:10,100,Station_12,Station_4,47
2023-01-10,Train,Route_3,19:08,20:21,94,Station_15,Station_17,17
2023-01-10,Metro,Route_4,15:55,17:48,61,Station_5,Station_4,14
2023-01-10,Tram,Route_7,16:40,17:46,89,Station_16,Station_7,34
2023-01-10,Train,Route_3,22:07,22:33,11,Station_10,Station_19,23
2023-01-10,Metro,Route_10,22:50,24:39,84,Station_20,Station_1,57
2023-01-10,Tram,Route_1,19:43,20:45,47,Station_1,Station_17,44
2023-01-10,Bus,Route_3,09:17,11:30,23,Station_17,Station_4,61
2023-01-10,Train,Route_2,11:50,14:28,43,Station_1,Station_16,54
2023-01-10,Metro,Route_8,17:40,19:48,95,Station_4,Station_17,22
2023-01-10,Tram,Route_6,11:41,13:17,13,Station_12,Station_2,54
2023-01-10,Bus,Route_5,12:29,13:46,94,Station_1,Station_11,24
2023-01-10,Bus,Route_3,03:47,05:53,38,Station_17,Station_18,37
2023-01-10,Tram,Route_4,16:47,19:31,63,Station_16,Station_20,74
2023-01-10,Metro,Route_9,07:26,08:58,4,Station_20,Station_4,48
2023-01-10,Bus,Route_2,14:05,15:29,99,Station_1,Station_18,61
2023-01-10,Bus,Route_3,03:24,04:23,90,Station_18,Station_1,37
2023-01-10,Train,Route_5,17:39,19:02,80,Station_11,Station_12,34
2023-01-10,Bus,Route_8,03:42,06:18,25,Station_19,Station_10,64
2023-01-10,Tram,Route_9,14:07,14:41,13,Station_17,Station_6,16
2023-01-10,Tram,Route_8,07:15,09:59,35,Station_4,Station_6,49
2023-01-10,Train,Route_3,10:49,13:01,39,Station_14,Station_3,42
2023-01-10,Metro,Route_3,16:57,18:55,54,Station_15,Station_1,30
2023-01-10,Bus,Route_5,09:51,12:32,72,Station_11,Station_3,58
2023-01-11,Tram,Route_8,05:57,06:11,57,Station_13,Station_3,12
2023-01-11,Train,Route_2,07:14,08:24,25,Station_1,Station_17,15
2023-01-11,Train,Route_9,22:00,23:18,18,Station_3,Station_17,13
2023-01-11,Bus,Route_2,05:12,06:58,56,Station_3,Station_12,9
2023-01-11,Tram,Route_3,07:07,08:19,16,Station_13,Station_4,5
2023-01-11,Tram,Route_8,07:58,08:55,21,Station_4,Station_5,9
2023-01-11,Train,Route_7,21:11,22:07,55,Station_11,Station_17,13
2023-01-11,Bus,Route_10,06:00,06:50,44,Station_17,Station_13,9
2023-01-11,Tram,Route_6,20:31,21:51,87,Station_3,Station_14,12
2023-01-11,Tram,Route_5,17:04,17:27,95,Station_15,Station_1,8
2023-01-11,Bus,Route_6,22:12,22:39,13,Station_7,Station_17,12
2023-01-11,Train,Route_3,11:29,12:44,77,Station_1,Station_10,0
2023-01-11,Tram,Route_1,06:17,06:49,71,Station_4,Station_19,8
2023-01-11,Tram,Route_3,14:06,15:10,31,Station_11,Station_19,0
2023-01-11,Bus,Route_4,03:52,06:00,56,Station_17,Station_14,8
2023-01-11,Train,Route_1,12:33,14:04,97,Station_7,Station_20,15
2023-01-11,Tram,Route_4,08:23,09:46,73,Station_3,Station_19,0
2023-01-11,Train,Route_10,05:22,05:39,86,Station_3,Station_18,5
2023-01-11,Tram,Route_6,16:53,18:56,81,Station_3,Station_2,14
2023-01-11,Metro,Route_8,14:16,14:45,54,Station_17,Station_4,14
2023-01-11,Metro,Route_10,20:46,21:36,90,Station_8,Station_11,8
2023-01-11,Bus,Route_7,12:29,12:54,24,Station_16,Station_19,13
2023-01-11,Tram,Route_10,06:18,07:52,56,Station_19,Station_12,4
2023-01-11,Train,Route_10,08:15,09:04,98,Station_2,Station_2,6
2023-01-11,Bus,Route_3,13:20,15:20,66,Station_15,Station_7,14
2023-01-11,Train,Route_1,16:11,17:28,38,Station_11,Station_16,6
2023-01-11,Tram,Route_7,13:13,15:13,68,Station_10,Station_13,7
2023-01-11,Bus,Route_8,19:52,21:01,93,Station_8,Station_15,4
2023-01-11,Train,Route_6,20:53,22:15,10,Station_4,Station_9,3
2023-01-11,Bus,Route_7,13:39,14:52,72,Station_11,Station_11,11
2023-01-11,Tram,Route_8,17:00,19:03,23,Station_3,Station_9,5
2023-01-11,Train,Route_4,18:11,20:03,11,Station_20,Station_8,1
2023-01-12,Bus,Route_5,07:45,08:28,32,Station_14,Station_6,6
2023-01-12,Train,Route_1,17:40,19:52,95,Station_3,Station_15,12
2023-01-12,Bus,Route_10,11:19,12:11,98,Station_2,Station_9,7
2023-01-12,Metro,Route_2,08:48,10:18,62,Station_7,Station_8,12
2023-01-12,Train,Route_7,22:00,23:49,61,Station_8,Station_15,14
2023-01-12,Tram,Route_8,18:01,20:04,71,Station_2,Station_15,4
2023-01-12,Metro,Route_9,13:00,13:40,53,Station_12,Station_17,9
2023-01-12,Bus,Route_10,03:56,05:21,1,Station_10,Station_19,7
2023-01-12,Metro,Route_6,14:36,14:46,12,Station_19,Station_14,0
2023-01-12,Bus,Route_4,18:52,20:22,86,Station_17,Station_6,10
2023-01-12,Metro,Route_10,17:11,17:16,37,Station_18,Station_5,4
2023-01-12,Train,Route_6,09:59,10:46,90,Station_2,Station_12,9
2023-01-12,Tram,Route_9,17:40,19:34,100,Station_7,Station_12,8
2023-01-12,Bus,Route_9,19:52,21:42,78,Station_5,Station_8,12
2023-01-12,Train,Route_3,14:30,16:31,43,Station_20,Station_20,2
2023-01-12,Metro,Route_6,15:57,17:05,30,Station_1,Station_4,10
